visit_number,patient_number,sepsis_score,group,patient_name,admission_date,discharge_date,days_of_hospitalization,discharge_status,survival_status,patient_breed,sex,weight,age,clinical_diagnosis,other_conditions,premature,gestational_age,attitude,T,P,R,CRT,blood_culture_done,blood_culture_result,blood_culture_result_desc,IgG,RBC,Hg,HCT,MCV,MCH,MCHC,RDW,nucleated_RBC,anisocytosis,echinocytes,Howell_Jolly_bodies,acanthocytes,other_morphology,poikilocytosis,schistocytes,rouleaux,Heinz_bodies,microcytes,WBC ,metamyelocytes,bands,toxicity1,neut,toxicity2,lymph,mono,eos,baso,platelets,clumps,macroplatelets,TPP,fib,RPR,glu,lactate,creatinine
4010DE,699159,2,Healthy,Fine Wine Filly,23-May-19,26-May-19,3.00,ALIVE,Survivor,EQ-OLDENBURG,F,,12.5,1) Apparently healthy foal born in hospital,No,,,BAR,99.5,104,32,2,2,,,800,9.56,13.20,40.00,41.80,13.80,33.00,18.60,,Slight,,,,,,,,,,8220.00,,,,7431.00,,732.00,41.00,8.00,8.00,250.00,,,4.80,300.00,0.0744,,,1.4
73295EM,687539,4,SNS,Fly 16' Colt,19-Jan-16,26-Jan-16,7.00,ALIVE,Survivor,EQ-THOROUGHBRED,M,52.5,23,"1) Historic failure of passive transfer. 2) Pharyngeal weakness. 3) Mild secondary presumptive aspiration pneumonia. 4) Suspect mild omphalitis. 5) Mild flexural limb deformities (carpal and fetlock contracture, thoracic limbs; distal limb laxity, pelvic limbs).",No,,,BAR,101.8,120,60,1,2,,,200-400,9.39,13.30,38.10,40.60,14.20,34.90,18.70,,Slight,,,,,,,,,,6850.00,,,,5823.00,,945.00,55.00,21.00,7.00,289.00,,,5.80,500.00,0.0647,210.00,1.90,1.4
191CV,691740,6,SNS,Kelly's Cadillac's Foal,6-May-17,21-May-17,15.00,ALIVE,Survivor,EQ-QUARTER HORSE,F,25.6,2,1) Mild sepsis,No,,,"BAR, standing",100.4,140,100,1,2,,,sufficient,9.92,13.50,40.60,40.90,13.60,33.30,17.40,,slight,few,,,,,,,,,3430.00,,172.00,few slight toxicity,2024.00,,1201.00,34.00,0.00,0.00,280.00,,,4.10,100.00,0.0621,92.00,4.40,1.4
8232CG,682157,13,Septic,Silk's 2014 Colt,24-Mar-14,26-Mar-14,2.00,ALIVE,Survivor,EQ-ARABIAN,M,40.4,9,1) Failure of Passive Transfer: Potential Septicemia,,,,QAR,97,96,24,1-2s,2,,,<400,11.29,15.40,46.60,41.30,13.60,33.00,16.40,,Slight,,,,,,,,,,5780.00,,578.00,SLIGHT TOXICITY,3815.00,,1214.00,173.00,0.00,0.00,268.00,,,4.40,300.00,0.0612,79.00,2.70,1.4
71341EM,687074,9,SNS,Lola 15 Filly,2-May-15,8-May-15,6.00,ALIVE,Survivor,EQ-QUARTER HORSE,F,34,29,1) Post mature foal (6 weeks overdue) 2) Neonatal maladjustment syndrome 3) Omphaloarteritis,Yes,No,372,QAR,100,120,42,1-2s,1,2,NO GROWTH,,7.54,9.60,24.00,31.80,12.70,40.00,20.70,,Slight,,,,,,,,,,6630.00,,296.00,SLIGHT TOXIC,5624.00,,1406.00,74.00,0.00,0.00,133.00,,,5.30,300.00,0.1556,203.00,3.40,1.5
54059FS,678620,1,Healthy,Chex Lite 13 Colt (2793c),22-Apr-13,22-Apr-13,0.00,ALIVE,Survivor,EQ-QUARTER HORSE,M,,10,1) Apparently healthy colt.,No,No,324,BAR,100.6,88,44,,2,,,>800,12.30,17.00,46.90,38.10,13.80,36.20,18.50,,Slight,,,,,,,,,,9730.00,,,,7949.00,,1654.00,68.00,19.00,29.00,169.00,,,5.00,200.00,0.1095,161.00,,1.5
63103EM,675896,4,SNS,Savanah,15-Apr-12,25-Apr-12,10.00,ALIVE,Survivor,EQ-THOROUGHBRED,F,,24,1) Sepsis; resolved.,,,,BAR,100.9,132,30,<2,1,2,NO GROWTH,>800,7.33,9.90,26.60,36.30,13.50,37.20,18.70,,Slight,,,,,,,,,,10330.00,,620.00,SLIGHT TOXICITY,7851.00,,1756.00,103.00,,,171.00,,,5.10,300.00,0.1094,209.00,2.40,1.5
65906EM,678523,1,Healthy,Best Kept Secret,31-Mar-13,2-Apr-13,2.00,ALIVE,Survivor,EQ-TRAKEHNER,M,60.4,12,1) Healthy colt,No,,,BAR,,152,72,1-2s,2,,,>800,9.33,14.20,38.50,41.30,15.20,36.90,17.90,,Slight,Few,,,,,,,,,8580.00,,,,7061.00,,1399.00,77.00,34.00,9.00,176.00,,,5.30,100.00,0.1017,137.00,,1.5
6994DE,699488,6,SNS,Bacara 2019 Filly,16-Jun-19,16-Jun-19,0.00,EUTH,Non-Survivor,EQ-WARMBLOOD,F,71,10,1) Enterocolitis 2) Intrinsic factor deficient (suspect secondary to inflammation),,,,BAR,100.2,100,32,3,2,,,,10.79,15.40,46.90,43.50,14.30,32.80,17.90,,Slight,Many,,,,,,,,,8470.00,,254.00,,7115.00,,932.00,169.00,0.00,0.00,180.00,,,6.20,400.00,0.0994,197.00,4.50,1.5
4168CZ,694844,1,Healthy,Athena,27-Apr-18,28-Apr-18,1.00,ALIVE,Survivor,EQ-FRIESIAN,F,,4,,No,No,321,BAR,100.6,120,44,2,2,,,>800,9.88,13.60,41.10,41.60,13.80,33.10,18.30,,Slight,Many,Rare,,,,,,,,6220.00,,,,4696.00,,1455.00,50.00,19.00,6.00,187.00,,,4.50,300.00,0.0979,,,1.5
8632CB,677939,4,SNS,Colt 2013,23-Jan-13,28-Jan-13,5.00,ALIVE,Survivor,EQ-AMERICAN PAINT HORSE,M,52.2,24,1) Discoordinated Micturition 2) Partial failure of passive transfer (resolved),No,,,QAR,99.5,120,44,1.5-2s,2,,,<400,10.16,14.70,41.60,40.90,14.50,35.30,17.50,,Slight,Few,,,,,,Moderate,,,8610.00,,,,7654.00,,758.00,146.00,43.00,9.00,191.00,,,4.80,300.00,0.0916,185.00,1.30,1.5
74934FS,838242,7,SNS,April Fools Chex 20 Colt,26-Mar-20,26-Mar-20,0.00,ALIVE,Survivor,EQ-QUARTER HORSE],M,,0,1) 1) Newborn foal wellness exam; 2) Passive Imune Transfer Failure,,,,BAR,101.4,120,60,,2,,,<400,11.48,15.20,44.60,38.90,13.20,34.10,18.90,,Slight,Moderate,,Rare,,,,,,,11280.00,,226.00,SLIGHT TOXICITY,9814.00,,902.00,338.00,0.00,0.00,208.00,No,,5.30,300.00,0.0909,,,1.5
1229CZ,695781,7,SNS,Ss Tamarindo,5-Apr-18,10-Apr-18,5.00,ALIVE,Survivor,EQ-ANDALUSIAN,M,55,24,1) Failure of passive transfer (resolved).,,,,BAR,101.7,110,25,2,1,2,No Growth,<400,10.04,13.50,40.20,40.00,13.40,33.60,17.80,,Slight,Few,,Moderate,,,,,,,5750.00,,115.00,,4485.00,,1035.00,115.00,0.00,0.00,197.00,,,5.50,400.00,0.0904,133.00,1.30,1.5
56590FS,682053,5,SNS,Sporty Semenya 14,13-Mar-14,13-Mar-14,0.00,ALIVE,Survivor,EQ-THOROUGHBRED,M,,36,1) Failure of passive transfer 2) mild omphalitis,No,,,BAR,101.7,100,44,<2,2,,,106,9.84,13.80,38.40,39.00,14.00,35.90,17.70,,Slight,Few,Rare,,,,,,,,11780.00,,,,9836.00,,1743.00,153.00,24.00,24.00,198.00,,,5.30,500.00,0.0894,163.00,,1.5
79272EM,695872,1,Healthy,Arwen,2-May-18,4-May-18,2.00,ALIVE,Survivor,EQ-FRIESIAN,F,,12,"1) Healthy post partum foal 2) Mild carpal contracture, improving",No,No,324,BAR,99.9,150,36,2,2,,,>800,8.83,13.00,38.10,43.10,14.70,34.10,18.00,,Slight,,,,,,,,,,8250.00,,,,5363.00,,2558.00,330.00,0.00,0.00,227.00,,,6.00,100.00,0.0793,,,1.5
2743DD,698710,3,Healthy,Windy,1-Mar-19,1-Mar-19,0.00,ALIVE,Survivor,EQ-QUARTER HORSE],F,39.4,48,1) Apparently healthy twin filly.,Yes,,,BAR,101,75,36,2,2,,,>800,7.28,10.00,29.60,40.70,13.70,33.80,17.90,,Slight,Moderate,,,,,,,,,6070.00,,,,4814.00,,1135.00,85.00,24.00,12.00,267.00,,,4.60,200.00,0.0670,200.00,,1.5
74305EM,689139,2,Healthy,Spider 2016 Colt,16-Jun-16,19-Jun-16,3.00,ALIVE,Survivor,EQ-WARMBLOOD,M,65,24,1) Healthy Foal - Born in Hospital 2) Umbilical Hernia,No,,,BAR,100.7,110,60,2,2,,,>800,10.58,14.80,42.90,40.50,14.00,34.50,18.50,,Slight,Many,Rare,,,,,,,,9750.00,,,,8063.00,,1502.00,146.00,29.00,10.00,276.00,,,6.00,200.00,0.0670,164.00,,1.5
1188BZ,675638,5,SNS,Free The Magic 2012 Foal,4-May-12,10-May-12,6.00,ALIVE,Survivor,EQ-THOROUGHBRED,F,58,18,1) Neurologic disease - possible congenital defect,,,,,101.1,120,70,<1.5s,2,,,>800,10.34,14.70,40.80,39.50,14.20,36.00,17.10,,Slight,,,,,,,,,,14360.00,,,,13355.00,,747.00,244.00,0.00,14.00,262.00,,,5.60,200.00,0.0653,81.00,5.60,1.5
78843EM,695546,14,Septic,Cocoa's Foal 2018,19-Mar-18,25-Mar-18,6.00,ALIVE,Survivor,EQ-ARABIAN,M,27.2,24,1) Hypoxic ischemic encephalopathy 2) Sepsis,Yes,No,342,Recumbent,99.7,84,26,3,1,2,No Growth,>800,10.10,13.10,40.00,39.60,13.00,32.80,17.30,,Slight,Few,,Few,,,Rare,,,,950.00,,247.00,,371.00,,247.00,86.00,0.00,0.00,106.00,,,5.50,400.00,0.1632,120.00,4.40,1.6
77688FS,842186,2,Healthy,Shemariah 2021 Colt,5-Apr-21,5-Apr-21,0.00,ALIVE,Survivor,EQ-WARMBLOOD,M,,24,1) Apparently systemically healthy newborn foal 2) Reducible umbilical hernia,No,,,BAR,102,100,56,1,2,,,>2000,9.47,14.00,40.00,42.20,14.70,34.90,19.20,,slight,moderate,,,,,,,,,10160.00,,102.00,,7214.00,,2540.00,305.00,,,153.00,no,,6.30,200.00,0.1255,,,1.6
56725FS,682012,1,Healthy,Lady Beatrice 14 Filly,29-Mar-14,29-Mar-14,0.00,ALIVE,Survivor,EQ-THOROUGHBRED,F,,26,1) Healthy foal exam 2) Grade 2/6 early systolic L sided murmur (suspect physiologic murmur),No,No,329,BARH,101.5,100,36,<2,2,,,>800,10.30,15.20,44.20,42.90,14.80,34.40,16.60,,Slight,Moderate,,,,,,,,,7320.00,,,,4773.00,,2335.00,168.00,29.00,7.00,159.00,,,6.10,200.00,0.1044,144.00,,1.6
4145CZ,694842,6,Septic,Too Many Rules 2018 Colt,26-Apr-18,20-May-18,24.00,ALIVE,Survivor,EQ-THOROUGHBRED,M,56,132,"1) Enteric infection of Clostridium perfringens, toxin netF 2) Enterocolitis, 2ry to 1) 3) Septic urachitis, Enterobacter cloacae 4) Patent urachus, secondary to 3)",,,,BAR,101,72,24,2,1,1, Enterobacter cloacae,>800,9.12,12.30,36.00,39.50,13.50,34.20,18.70,,Slight,Few,,Few,,,,,,,6780.00,,203.00,,4068.00,,2034.00,339.00,686.00,68.00,192.00,,,5.20,300.00,0.0974,168.00,0.80,1.6
75002FS,838416,0,Healthy,Miss Starlano 20,15-Apr-20,15-Apr-20,0.00,ALIVE,Survivor,EQ-QUARTER HORSE,F,,24,1) Healthy Neonatal Filly,No,,,,100.6,104,64,2,2,,,,10.35,15.10,44.10,42.60,14.60,34.20,17.60,,Slight,Few,,Few,,,,,,,8980.00,,,,6430.00,,2362.00,126.00,27.00,36.00,182.00,No,,7.10,100.00,0.0967,,,1.6
7647BY,675479,14,Septic,Blondy(Taffy),2-Apr-12,24-Apr-12,22.00,ALIVE,Survivor,EQ-AMERICAN PAINT HORSE,F,45.5,30,1) nutritional myodegeneration - selenium deficiency 2) secondary muscle spasm and fibrosis of the gluteal and semis 3) Gluteal muscle atrophy,No,No,,Obtunded,99.3,120,20,2,1,2,NO GROWTH,>800,10.20,13.60,37.20,36.50,13.30,36.60,18.00,,Slight,Many,,,,,,,,,11760.00,,1058.00,SLIGHT TOXIC,9996.00,FEW SLIGHT TOXIC,588.00,118.00,0.00,,255.00,,,6.30,300.00,0.0706,323.00,6.60,1.6
360DE,699968,1,Healthy,Casino's Foal,28-Apr-19,29-Apr-19,1.00,ALIVE,Survivor,EQ-AMERICAN PAINT HORSE,F,,12,1) Healthy Filly,No,,,BAR,99.9,96,32,2,2,,,>800,11.07,13.60,40.30,36.40,12.30,33.70,19.50,,Slight,Many,Few,,,,,,,,12360.00,,,,11211.00,,1075.00,49.00,12.00,12.00,307.00,,,5.60,100.00,0.0635,,,1.6
6436CL,685506,27,Septic,Foal,15-Apr-15,27-Apr-15,12.00,EUTH,Non-Survivor,EQ-AMERICAN PAINT HORSE,M,,72,"1) Sepsis - pneumonia, septicemia, urachitis and omphaloarteritis 2) Septic arthritis, bursitis 3) Acute kidney injury",,,,Dull/obtunded,99.9,100,30,2-3 sec,1,1,"LARGE NUMBERS GRAM (-) RODS. CULTURE: E. COLI (2 TYPES) (BY MALDI TOF), SMALL NUMBERS GRAM (+) COCCOBACILLI.",<400,8.57,12.40,32.40,37.80,14.50,38.30,18.50,,Slight,Few,Rare,,,,,,,,2600.00,,1352.00,MARKED TOXICITY,182.00,MODERATE TOXICITY,572.00,494.00,,,66.00,NO CLUMPS,,5.50,700.00,0.2803,44.00,2.90,1.7
79391EM,695929,2,Healthy,Jessi's Foal 2018,13-May-18,15-May-18,2.00,ALIVE,Survivor,EQ-QUARTER HORSE,M,45,12,"1) Born in hospital 2) Systemically healthy colt 3) Mild fetlock contracture, Right hind",No,No,340,BAR,99.7,100,36,,2,,,400-800,9.78,14.30,42.60,43.60,14.60,33.60,17.90,,Slight,Many,Rare,,,,,,,,8350.00,,,,6430.00,,1587.00,334.00,0.00,0.00,158.00,,,4.90,200.00,0.1133,,,1.7
73975EM,689090,5,SNS,Zaharias 16 Filly,7-May-16,13-May-16,6.00,ALIVE,Survivor,EQ-STANDARDBRED,F,43,5,1) Selenium deficiency. 2) Pharyngeal weakness (secondary to #1). 3) Aspiration pneumonia (secondary to #2). 4) Angular limb deformity - left tarsal valgus.,,No,327,BAR,101.6,120,32,1,2,,,>800,9.53,13.20,39.50,41.40,13.90,33.40,18.40,,Slight,,,,,,,,,,7150.00,,286.00,Few Slight,5720.00,,930.00,143.00,72.00,,164.00,,,5.70,200.00,0.1122,130.00,4.90,1.7
79260EM,694694,1,Healthy,Zippin Along Foal 2018,30-Apr-18,6-May-18,6.00,ALIVE,Survivor,EQ-THOROUGHBRED,F,54.5,14,"1) Tendon contracture LH limb 2) Abrasions, R stifle, both hocks, both elbows, right hip regions",No,No,354,BAr,101.4,120,38,2,2,,,>800,8.37,12.30,36.20,43.20,14.70,34.00,17.70,,Slight,Few,,,,,,,,,10740.00,,,,9247.00,,1353.00,86.00,21.00,32.00,166.00,,,6.00,300.00,0.1066,180.00,,1.7
1064CU,691425,18,Septic,Ring True 17,23-Feb-17,28-Feb-17,5.00,ALIVE,Survivor,EQ-THOROUGHBRED,F,51.8,30,1) Hypoxic ischemic encephalopathy (premature placenta separation). 2) Failure of passive transfer. 3) Entropion OU. 4) Umbilical hernia.,Yes,No,329,QAR,98.9,120,28,2,1,2,No Growth,400-800,7.20,10.20,32.00,44.40,14.20,31.90,19.50,,Slight,,Rare,,Rare Ovalocytes,,,,,,10170.00,,712.00,,8645.00,,712.00,102.00,0.00,0.00,195.00,,,4.70,200.00,0.1000,119.00,7.40,1.7
8492DD,699004,7,SNS,Nadia's Foal 2019,15-Apr-19,10-May-19,25.00,ALIVE,Survivor,EQ-EGYPTIAN ARAB,F,47.6,9,"1) Neonatal maladjusment syndrome (resolved) 2) Transient pharyngeal weakness (resolved) 3) Aspiration pneumonia (secondary to 2; resolved) 4) Contracted front limbs (largely resolved) 5) Angular limb deformity: (bilateral forelimb valgus (right improved, left still ongoing),left hind valgus improving, and right hind hock/fetlock varus -still ongoing with rotation of hock outward when walking) 6) Enlarged clitoris (suspected) 7) Diarrhea ( Cryptosporidium; resolved but still shedding)",No,No,328,BAR,99.4,120,32,1,1,2,No Growth,400,11.60,16.20,48.40,41.70,14.00,33.50,19.90,,Moderate,Moderate,,,,Slight,Rare,,,Few,6330.00,,190.00,,5444.00,,570.00,127.00,0.00,0.00,212.00,,,4.40,300.00,0.0939,201.00,4.00,1.7
6882CD,680373,12,Septic,Holly Go Lightly (2013),24-Jun-13,28-Jun-13,4.00,ALIVE,Survivor,EQ-DUTCH WARM BLOOD,F,57,3.5,1) Failure of Passive Transfer,No,No,329,QAR,100.1,88,40,1-2s,1,2,NO GROWTH,<400,10.68,13.90,37.90,35.50,13.00,36.70,18.30,,Slight,,,,,,,,,,13800.00,,,,12544.00,,1063.00,152.00,0.00,28.00,204.00,,,4.70,300.00,0.0897,164.00,3.30,1.7
53395FS,678911,0,Healthy,Grays Crome 13 Filly,28-Jan-13,28-Jan-13,0.00,ALIVE,Survivor,EQ-QUARTER HORSE,F,,15,1) Healthy Newborn Foal,No,,,BAR,100.8,116,30,1-2s,2,,,>800,11.03,15.90,43.60,39.50,14.40,36.50,17.90,,Slight,,,,,,,,,,8160.00,,,,7026.00,,1036.00,41.00,16.00,33.00,206.00,,,5.60,300.00,0.0869,207.00,,1.7
1356DE,698562,0,SNS,Foal 2019 Of Cheyenne,6-May-19,8-May-19,2.00,ALIVE,Survivor,EQ-MIX/FRIESIAN/ARABIAN,F,57.5,15,1) Mild Pharangeal Weakness (resolved) 2) Mild aspiration pneumonia (suspected secondary to 1; clinically quiet),No,No,349,BAR,101.7,140,80,2,2,,,>800,10.54,15.30,43.70,41.50,14.50,35.00,18.00,,Slight,Many,,,,,,,,,8270.00,,,,6418.00,,1762.00,66.00,8.00,17.00,230.00,,,5.40,200.00,0.0783,,,1.7
62991EM,674622,5,Septic,Lady Prosecutor 2012 Foal,2-Apr-12,7-Apr-12,5.00,ALIVE,Survivor,EQ-MORGAN,M,39.5,13,1) Neonatal maladjustment syndrome 2) Sepsis,,Yes,315,BAR,99.7,100,28,2,1,1,"DIRECT SMEAR: MODERATE NUMBERS PLEOMORPHIC GRAM (+) RODS. CULTURE: VERY SMALL NUMBERS CORYNEBACTERIUM SP.-LIKE ORGANISM (SUSPECT CONTAMINANT, UNABLE TO GROW ON M.I.C. MEDIA).",>800,11.13,17.30,48.30,43.30,15.50,35.80,17.10,,Slight,,,,,,,,,,6290.00,,126.00,,4969.00,,1006.00,189.00,0.00,0.00,220.00,,,5.80,300.00,0.0777,85.00,5.90,1.7
2661DD,698418,1,Healthy,Maverick,28-Feb-19,1-Mar-19,1.00,ALIVE,Survivor,EQ-QUARTER HORSE,M,,10,1) Apparently healthy colt,No,No,350,BAR,101.1,80,24,2,2,,,>800,11.97,16.30,49.00,40.90,13.60,33.30,17.70,,Slight,Moderate,,,,,,,,,10620.00,,,,9133.00,,1381.00,74.00,11.00,11.00,230.00,,,5.40,200.00,0.0770,,,1.7
79378EM,695927,0,Healthy,Alisha's Foal 2018,12-May-18,16-May-18,4.00,ALIVE,Survivor,EQ-ANDALUSIAN,F,,12,1) Born in hospital 2) Systemically healthy,No,,,BAR,100.5,80,30,2,2,,,>800,12.39,16.50,50.40,40.70,13.30,32.70,18.10,,Slight,,Rare,Moderate,,,,,,,5710.00,,,,4562.00,,1096.00,34.00,17.00,6.00,238.00,,,4.90,200.00,0.0761,,,1.7
62992EM,674624,10,SNS,Daisy 12 Colt,2-Apr-12,7-Apr-12,5.00,ALIVE,Survivor,EQ-OLDENBURG,M,47.2,9,1) Failure of passive transfer 2) Possible sepsis,Yes,No,345,Quiet,99.4,96,24,<1,1,2,NO GROWTH,400-800,8.99,12.90,36.80,40.90,14.30,35.10,17.20,,Slight,,,,,,,,,,6010.00,,,,5187.00,,691.00,114.00,6.00,12.00,247.00,,,4.30,200.00,0.0696,105.00,10.10,1.7
9225DM,842657,6,SNS,April's 2021 Colt,10-May-21,12-May-21,2.00,ALIVE,Survivor,EQ-QUARTER HORSE],M,,12,"1) Presumed HIE, improved",,,,Obtunded,100,76,28,2,2,,,<400,10.48,15.20,45.20,43.20,14.50,33.70,18.30,,slight,moderate,,,,,,,,,7090.00,,,,5290.00,,1570.00,200.00,10.00,20.00,270.00,no,,3.90,200.00,0.0678,166.00,2.00,1.7
71455EM,687051,3,Healthy,Hanako's Filly 15,17-May-15,21-May-15,4.00,ALIVE,Survivor,EQ-BASKIR CURLY,F,,1,1) Healthy foal born in hospital,Yes,No,366,BAR,100.6,120,76,1-2s,2,,,,9.87,13.90,36.40,36.90,14.10,38.20,18.50,,Slight,,Rare,,Rare Ovalocytes,,,,,,9920.00,,,,8819.00,,923.00,149.00,20.00,10.00,402.00,,,5.40,20.00,0.0460,,,1.7
6818BZ,676776,12,Septic,Sombras '12 Filly,26-Jun-12,27-Jun-12,1.00,EUTH,Non-Survivor,EQ-ARABIAN,F,25,11,"1) Prematurity, incomplete ossification of cuboidal bones (grade II) 2) Metacarpophalangeal contracture (+ digital), bilateral 3) Carpal contracture, bilateral 4) Uroperitoneum (rupture bladder syndrome)",,Yes,305,QAR,97.7,120,32,2,2,,,,9.79,14.60,40.30,41.20,14.90,36.20,18.40,,Slight,Many,,,,,,,,,20230.00,,,,19097.00,,647.00,445.00,0.00,40.00,561.00,,,6.10,300.00,0.0328,88.00,4.30,1.7
4998DE,699364,5,SNS,Chance,31-May-19,5-Jun-19,5.00,ALIVE,Survivor,EQ-WARMBLOOD,M,72.7,32,"1) Preputial hematoma, suspect trauma. 2) Mild carpal contracture (right > left). 3) Distal limb edema, both hind limbs- resolved.",No,,,BAR,101.6,160,64,2,2,,,>800,9.20,12.70,36.20,39.30,13.80,35.10,19.30,,Slight,Many,,,,,,,,,8930.00,,179.00,,6608.00,,1697.00,447.00,0.00,0.00,176.00,,,6.20,300.00,0.1097,151.00,1.30,1.8
8210DM,842706,3,Healthy,Pepsi's Foal,3-May-21,7-May-21,4.00,ALIVE,Survivor,EQ-UNKNOWN,M,,0,1) Apparently healthy foal.,No,No,338,BAR,100.7,128,92,2,2,,,400-800,10.33,15.60,45.10,43.70,15.10,34.60,18.00,,Slight,Moderate,Rare,Rare,,,,,,,10930.00,,,,8890.00,,1840.00,180.00,10.00,10.00,188.00,No,,4.90,200.00,0.0957,,,1.8
2569CZ,695836,4,SNS,Alx Tohfa Kamar (Alx Lulu Kamar Filly 2018),16-Apr-18,20-Apr-18,4.00,ALIVE,Survivor,EQ-ARABIAN,F,34.4,0,"1) Partially rejected by mare 2) Maladjustment Syndrome, mild",,No,330,BAR,101.2,120,20,1,2,,,>800,10.87,15.50,47.20,43.40,14.30,32.80,17.60,,Slight,Few,,,,,,,,,6770.00,,,,5748.00,,860.00,108.00,14.00,41.00,199.00,,,4.40,300.00,0.0884,82.00,6.00,1.8
53342FS,677918,2,Healthy,April Fools Chex 13 Filly (B4640),22-Jan-13,22-Jan-13,0.00,ALIVE,Survivor,EQ-QUARTER HORSE,F,,9,1) Foal exam- systemically healthy,No,,,BAR,100.3,108,72,2,2,,,>800,10.29,14.20,41.20,40.00,13.80,34.50,18.00,,Slight,Moderate,,,,,,Slight,,,10860.00,,,,8797.00,,1738.00,326.00,,,209.00,,,5.80,200.00,0.0861,135.00,,1.8
79867EM,696492,1,Healthy,Celise (Lady Luck's Wager Filly 2018),30-Jun-18,3-Jul-18,3.00,ALIVE,Survivor,EQ-THOROUGHBRED,F,,12,1) Mild bilateral forelimb digital flexor tendon laxity 2) Grade 1 left sided holosystolic murmur,No,,,BAR,100.8,90,70,1,2,,,>800,9.98,13.10,39.10,39.20,13.10,33.50,18.30,,Slight,Many,,,,,,,,,9750.00,,,,9019.00,,634.00,68.00,10.00,10.00,235.00,,,6.70,300.00,0.0779,139.00,2.10,1.8
4326CH,682738,3,SNS,Valor,10-May-14,19-May-14,9.00,ALIVE,Survivor,EQ-FRIESIAN,M,45.5,33.5,1) Pharyngeal/laryngeal paresis: suspect transient 2) Aspiration pneumonia 3) Maladjustment syndrome: mild 4) Meconium impaction: mild/resolved,No,No,331,QAR,101.7,148,40,1,1,2,NO GROWTH,,9.95,15.00,44.20,44.40,15.10,33.90,17.00,,Slight,,,,,,,,,,3800.00,,,,2557.00,,1159.00,65.00,19.00,4.00,225.00,,,5.80,300.00,0.0756,119.00,1.70,1.8
2136DN,842867,2,Healthy,Molly's 2021 Foal,31-May-21,2-Jun-21,2.00,ALIVE,Survivor,EQ-QUARTER HORSE],F,49.8,0,1) Observation and supportive care for possible NI,,,,BAR,101.3,104,16,"1,2",2,,,>800,10.63,14.60,43.60,41.00,13.70,33.40,19.10,,slight,,,,,,,,,,9040.00,,,,8110.00,,770.00,150.00,0.00,10.00,256.00,no,,5.40,300.00,0.0746,111.00,2.90,1.8
74175EM,690531,1,SNS,Stressin Foal,1-Jun-16,4-Jun-16,3.00,ALIVE,Survivor,EQ-QUARTER HORSE],F,23,11.5,1) Dysmature.,No,No,356,,101.2,128,60,1,2,,,>800,10.81,13.70,42.80,39.60,12.70,32.00,19.60,,Slight,Moderate,,,,,,,,,9340.00,,,,7836.00,,1354.00,121.00,19.00,9.00,292.00,,Few,4.00,200.00,0.0671,145.00,2.60,1.8
805CM,685717,7,SNS,Princess Kiera Filly,16-May-15,22-May-15,6.00,ALIVE,Survivor,EQ-STANDARDBRED,F,65,96,1) Septic 2) Neonatal maladjustment syndrome,,,,QAR,101.6,120,20,1-2s,2,,,<400,7.57,11.40,29.00,38.30,15.10,39.30,18.80,,Slight,,,,,,,,,,6640.00,,,,5617.00,,850.00,153.00,0.00,13.00,131.00,,,5.10,300.00,0.1435,97.00,1.30,1.9
7868DI,839110,19,Septic,Dawn's Foal,8-Jun-20,8-Jun-20,0.00,DIED,Non-Survivor,EQ-AMERICAN PAINT HORSE,F,29.5,7,1) Presumed sepsis 2) Died,No,No,359,QAR / Obtunded,94.5,96,28,4,2,,,,13.40,16.20,51.80,38.70,12.10,31.30,18.70,,Slight,Moderate,Rare,Few,,,,,,,880.00,,97.00,Slight,308.00,Few slight,440.00,35.00,0.00,0.00,149.00,No,,6.40,300.00,0.1255,32.00,14.20,1.9
7479DD,699956,5,SNS,Dual Rey X My Stylish Playgirl 19 Foal,8-Apr-19,13-Apr-19,5.00,ALIVE,Survivor,EQ-QUARTER HORSE,F,43.6,24,"1) GBED, homozygous (G/G). 2) Nutritional myodegeneration, improved. 3) Grade III cuboidal bone ossification. 4) Ulcerative keratitis, LEFT eye - resolved. 5) Small posterior polar subcapsular cataract and suspect persistent hyaloid artery, RIGHT eye. 6) Punctate nuclear cataract, LEFT eye.",No,,,BAR,99.1,130,60,2,1,2,No Growth,>800,8.04,11.80,33.90,42.20,14.70,34.80,18.70,,Slight,,,,,,,,,,3710.00,,,,2834.00,,827.00,22.00,7.00,22.00,213.00,,,4.40,400.00,0.0878,91.00,1.50,1.9
2375DE,699189,6,SNS,Amiga 2019 Filly,13-May-19,29-May-19,16.00,ALIVE,Survivor,EQ-ARABIAN,F,63,8,"1) Neonatal maladjustment syndrome, resolved. 2) Failure of transfer of passive immunity, resolved. 3) Flexor tendon laxity both hind limbs, improved. 4) Mild fetlock varus RF>LF.",No,Yes,316,BAR,100,128,24,2,2,,,<400,11.33,16.20,47.80,42.20,14.30,33.90,17.90,,Slight,,,,,,,,,,6200.00,,,,5375.00,,756.00,50.00,6.00,19.00,207.00,,,4.60,200.00,0.0865,124.00,5.50,1.9
